Modell,IMGAUROC,IMGAP,IMGF1Max,AUROC,AP,F1Max,AUPRO,mIoU,IoUMax,mIoU_2^8,F1Max_2^8,Acc_2^8,mADi,mADp,mAD_2^8,Sek./Bild
electrical_insulator,,,,,,,,,,,,,,,,
CFA,0.490,0.496,0.667,0.687,0.001,0.003,0.250,0.001,0.001,0.001,0.003,0.974,0.551,0.230,0.245,0.092
UniNet,0.504,0.503,0.667,0.976,0.013,0.035,0.912,0.002,0.007,0.003,0.034,0.991,0.558,0.341,0.259,0.080
Fastflow,0.500,0.500,0.000,0.851,0.001,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.333,0.284,0.250,0.074
DRAEM,0.467,0.502,0.667,0.862,0.002,0.003,0.548,0.000,0.001,0.001,0.003,0.754,0.545,0.289,0.190,0.060
Dinomaly,0.757,0.724,0.731,0.995,0.288,0.389,0.975,0.061,0.209,0.087,0.389,0.999,0.737,0.557,0.421,0.033
EfficientAd,0.539,0.529,0.667,0.905,0.007,0.028,0.769,0.001,0.001,0.002,0.028,0.997,0.578,0.313,0.257,0.050
witness_mark,,,,,,,,,,,,,,,,
CFA,0.491,0.495,0.667,0.525,0.007,0.016,0.138,0.005,0.008,0.005,0.016,0.399,0.551,0.183,0.107,0.094
UniNet,0.470,0.488,0.667,0.927,0.072,0.118,0.790,0.023,0.047,0.030,0.118,0.954,0.541,0.372,0.287,0.084
Fastflow,0.501,0.500,0.667,0.825,0.045,0.101,0.598,0.017,0.048,0.022,0.101,0.977,0.556,0.324,0.287,0.080
DRAEM,0.415,0.500,0.667,0.556,0.008,0.020,0.033,0.004,0.008,0.005,0.020,0.370,0.527,0.195,0.101,0.061
Dinomaly,0.470,0.484,0.667,0.163,0.004,0.015,0.012,0.005,0.007,0.005,0.015,0.007,0.540,0.061,0.009,0.035
EfficientAd,0.563,0.528,0.677,0.710,0.050,0.136,0.525,0.018,0.062,0.025,0.136,0.986,0.589,0.299,0.302,0.051
nut_and_bolt,,,,,,,,,,,,,,,,
CFA,0.503,0.501,0.667,0.596,0.004,0.011,0.191,0.003,0.004,0.003,0.011,0.635,0.557,0.204,0.163,0.097
UniNet,0.524,0.510,0.667,0.930,0.048,0.118,0.815,0.015,0.048,0.020,0.118,0.986,0.567,0.365,0.293,0.086
Fastflow,0.499,0.496,0.667,0.703,0.008,0.023,0.392,0.004,0.011,0.005,0.023,0.951,0.554,0.245,0.248,0.081
DRAEM,0.378,0.521,0.667,0.890,0.021,0.068,0.687,0.004,0.012,0.008,0.067,0.988,0.522,0.326,0.269,0.063
Dinomaly,0.670,0.625,0.696,0.942,0.064,0.147,0.833,0.021,0.066,0.029,0.147,0.988,0.664,0.384,0.308,0.038
EfficientAd,0.684,0.639,0.703,0.920,0.064,0.145,0.814,0.021,0.066,0.029,0.145,0.989,0.675,0.377,0.307,0.055

Durchschnitt,,,,,,,,,,,,,,,,
electrical_insulator,0.543,0.542,0.567,0.879,0.052,0.076,0.576,0.011,0.036,0.016,0.076,0.953,0.550,0.336,0.270,0.065
witness_mark,0.485,0.499,0.669,0.618,0.031,0.068,0.349,0.012,0.030,0.015,0.068,0.616,0.551,0.239,0.182,0.067
nut_and_bolt,0.543,0.549,0.678,0.830,0.035,0.085,0.622,0.011,0.035,0.016,0.085,0.923,0.590,0.317,0.265,0.070
total,0.524,0.530,0.638,0.776,0.039,0.076,0.516,0.011,0.034,0.016,0.076,0.830,0.564,0.297,0.239,0.067
logical,0.514,0.524,0.673,0.724,0.033,0.076,0.486,0.012,0.032,0.015,0.076,0.769,0.570,0.278,0.223,0.069
